step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,219194.296875,1.3954650163650513,7.665756129426882e-06,5315.95947265625,0.2648743987083435,-0.009999998845160007,0.0029068340081721544
1,165361.28125,1.2261273860931396,5.162335696695664e-07,1850.85205078125,0.24239976704120636,-0.017567265778779984,0.0013907499960623682
2,131741.703125,1.0685827732086182,1.0157734777749283e-06,177.94992065429688,0.23103824257850647,-0.022855568677186966,0.0010715000098571181
3,118052.859375,0.926577627658844,6.205535100889392e-06,234.957763671875,0.23044900596141815,-0.02832428738474846,0.001025000005029142
4,121223.7109375,0.8103547096252441,1.2837452231906354e-05,1635.44775390625,0.238324835896492,-0.03533177077770233,0.0010022500064224005
5,131804.21875,0.7337902188301086,1.6805815903353505e-05,3357.780517578125,0.24845704436302185,-0.04329247772693634,0.0010025830124504864
6,139098.71875,0.6991845965385437,1.700225766398944e-05,4372.8251953125,0.25450313091278076,-0.05188105255365372,0.0010054159793071449
7,139478.203125,0.6973698735237122,1.493485160608543e-05,4425.76025390625,0.2548212707042694,-0.06092352792620659,0.0011394169996492565
8,134614.78125,0.7189421653747559,1.2015358151984401e-05,3763.2392578125,0.2508696913719177,-0.07022767513990402,0.0010418750462122262
9,127704.28125,0.7567690014839172,9.115145076066256e-06,2753.85400390625,0.24487929046154022,-0.07957091927528381,0.001028000027872622
10,121590.6171875,0.80517578125,6.6798679654311854e-06,1719.2135009765625,0.23880235850811005,-0.08872310817241669,0.0010142920073121786
11,118067.2578125,0.8589191436767578,4.861903107666876e-06,877.9071044921875,0.233957901597023,-0.09747786074876785,0.0010138750076293945
12,117657.671875,0.9124605059623718,3.6353383165987907e-06,331.72357177734375,0.23094019293785095,-0.10567697882652283,0.0009937079739756882
13,119640.84375,0.9596388339996338,2.8910885703226086e-06,71.17225646972656,0.22964957356452942,-0.11322101205587387,0.001008375023957342
14,122408.9375,0.9944334030151367,2.5055328478629235e-06,1.9297513961791992,0.2294604629278183,-0.1200699433684349,0.0009952920372597873
15,124341.53125,1.0132330656051636,2.3663631054660073e-06,5.6596360206604,0.2296140193939209,-0.12623822689056396,0.0009826250025071204
16,124648.671875,1.0159789323806763,2.3707282252871664e-06,8.542445182800293,0.22965121269226074,-0.13178682327270508,0.0010019580367952585
17,123471.109375,1.0051227807998657,2.4286182451760396e-06,0.5944574475288391,0.22952638566493988,-0.13681292533874512,0.0009795409860089421
18,121489.796875,0.984272837638855,2.466235400788719e-06,11.729415893554688,0.22944968938827515,-0.14143644273281097,0.0010009160032495856
19,119488.875,0.957299530506134,2.4337871309398906e-06,79.08301544189453,0.22967852652072906,-0.14578324556350708,0.0009870840003713965
20,118055.875,0.9278278946876526,2.3120992409531027e-06,223.59947204589844,0.23036858439445496,-0.14996802806854248,0.0009786669979803264
21,117448.4921875,0.8989682793617249,2.108462922478793e-06,440.0498046875,0.23150955140590668,-0.1540805697441101,0.0009935409761965275
22,117600.9765625,0.8731924295425415,1.8431684338793275e-06,698.803466796875,0.23293516039848328,-0.1581776887178421,0.0010058750049211085
23,118223.5703125,0.8522982597351074,1.5372960433523986e-06,955.5314331054688,0.234382763504982,-0.16228081285953522,0.0009954589768312871
24,118944.1171875,0.8374179005622864,1.2088405583199346e-06,1164.4620361328125,0.23557595908641815,-0.1663779318332672,0.0009899999713525176
25,119444.2890625,0.8290531039237976,8.757423870520142e-07,1290.866943359375,0.23630216717720032,-0.17042851448059082,0.0010128330322913826
26,119550.5625,0.8271313905715942,5.599478072326747e-07,1319.103759765625,0.23646330833435059,-0.17437095940113068,0.001044208009261638
27,119260.1328125,0.831088662147522,2.886981746996753e-07,1254.2589111328125,0.23608645796775818,-0.17813175916671753,0.0009958749869838357
28,118705.5546875,0.8399685025215149,9.270287648632802e-08,1117.886962890625,0.2352982759475708,-0.181635782122612,0.0009699160000309348
29,118083.1796875,0.8525285124778748,2.744435567691994e-09,940.2561645507812,0.2342776656150818,-0.18481598794460297,0.000970416993368417
30,117576.3671875,0.8673503994941711,4.661045238663064e-08,752.0786743164062,0.23320531845092773,-0.18762099742889404,0.000975125003606081
31,117298.703125,0.8829509615898132,2.474085647463653e-07,578.1111450195312,0.23222477734088898,-0.19001881778240204,0.0009951250394806266
32,117270.796875,0.8978978991508484,6.234793090698076e-07,433.86737060546875,0.2314227670431137,-0.191996231675148,0.0009971249965019524
33,117430.578125,0.9109207987785339,1.1893439477717038e-06,325.5419006347656,0.23082958161830902,-0.19355401396751404,0.0010213330388069153
34,117668.0234375,0.9210118055343628,1.956967025762424e-06,252.3258819580078,0.23043391108512878,-0.19469930231571198,0.0010284580057486892
35,117868.7109375,0.9274994134902954,2.937076260423055e-06,209.8031463623047,0.23020443320274353,-0.1954362988471985,0.0013067920226603746
36,117950.953125,0.9300866723060608,4.140958481002599e-06,193.09182739257812,0.23010949790477753,-0.19575710594654083,0.0011049589957110584
