step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,222352.359375,1.839712381362915,6.775603105779737e-05,21070.662109375,0.3626727759838104,-0.009999999776482582,0.1432390830013901
1,206670.25,1.7189409732818604,1.72494983416982e-05,16260.240234375,0.33148398995399475,-0.02001107484102249,0.1391597079928033
2,191849.515625,1.6020395755767822,3.394640124554371e-11,12073.767578125,0.3043818473815918,-0.03004571795463562,0.15483745897654444
3,177946.34375,1.489518642425537,2.289402618771419e-05,8495.9267578125,0.28142601251602173,-0.0401003360748291,0.1516151669784449
4,164995.703125,1.3816293478012085,0.00010358523286413401,5543.33935546875,0.2626807689666748,-0.05014006048440933,0.14054975000908598
5,152986.96875,1.278260588645935,0.00025761156575754285,3223.62255859375,0.24812796711921692,-0.06009238213300705,0.16707354097161442
6,141884.0,1.179091215133667,0.0004893581499345601,1538.8570556640625,0.23772062361240387,-0.06983723491430283,0.17189741600304842
7,131643.890625,1.0837582349777222,0.0007791478419676423,487.6719665527344,0.23141387104988098,-0.07918387651443481,0.3698695420171134
8,122232.8203125,0.9920043349266052,0.0010885478695854545,62.14569091796875,0.22917325794696808,-0.08781788498163223,0.15861787501489744
9,113634.234375,0.9037491083145142,0.001371109508909285,249.12411499023438,0.23097293078899384,-0.09521399438381195,0.15938037500018254
10,105843.3515625,0.8190571069717407,0.0015754885971546173,1029.2939453125,0.2367716133594513,-0.10057729482650757,0.17836729099508375
11,98860.96875,0.7380881905555725,0.001655455445870757,2374.88134765625,0.2464911788702011,-0.10304226726293564,0.15748270798940212
12,92690.5546875,0.661089301109314,0.0015781748807057738,4247.04052734375,0.25999099016189575,-0.10225564986467361,0.17624279099982232
13,87336.6640625,0.5884242653846741,0.0013320818543434143,6589.7216796875,0.2770206034183502,-0.09865032136440277,0.1684692919952795
14,82801.359375,0.5205972194671631,0.0009414516971446574,9321.11328125,0.2971538007259369,-0.09298445284366608,0.14524333301233128
15,79074.078125,0.45818445086479187,0.0004845422809012234,12328.7060546875,0.3197430372238159,-0.0858963280916214,0.1466660830192268
16,76121.125,0.4017292857170105,0.00010612500045681372,15469.474609375,0.3439062833786011,-0.0778091624379158,0.14782562502659857
17,73879.890625,0.3516598045825958,2.0741610569530167e-05,18574.658203125,0.36854374408721924,-0.06898315995931625,0.14915312500670552
18,72259.984375,0.3082335889339447,0.00051187101053074,21461.5859375,0.3923927843570709,-0.05957667902112007,0.1548696249956265
19,71152.6875,0.2715224623680115,0.001931296894326806,23951.658203125,0.41412147879600525,-0.04968763142824173,0.14921833400148898
20,70444.9765625,0.24143020808696747,0.00468497583642602,25888.57421875,0.4324460029602051,-0.039378512650728226,0.15176033304305747
21,70033.078125,0.21772056818008423,0.009188017807900906,27156.373046875,0.44626584649086,-0.02869153954088688,0.1607838339987211
22,69834.234375,0.20004761219024658,0.01578313484787941,27697.43359375,0.4548141658306122,-0.017658159136772156,0.15860491601051763
23,69792.40625,0.18797092139720917,0.024622095748782158,27526.935546875,0.4578041136264801,-0.00630538072437048,0.16935837495839223
24,69875.3125,0.18094560503959656,0.03552190959453583,26739.505859375,0.45554614067077637,0.005339818075299263,0.1731163749936968
25,70060.375,0.1782965064048767,0.04782499372959137,25501.841796875,0.4489804208278656,0.017247561365365982,0.16756170900771394
26,70312.765625,0.17916616797447205,0.06033161282539368,24030.658203125,0.4395992159843445,0.02938370406627655,0.16855000000214204
27,70567.3125,0.18250983953475952,0.07140335440635681,22553.91015625,0.4292060434818268,0.04171028360724449,0.16674808302195743
28,70730.4453125,0.18718697130680084,0.07931333035230637,21264.6328125,0.41953951120376587,0.054187703877687454,0.17289491702103987
29,70710.0390625,0.19216933846473694,0.08275700360536575,20284.98046875,0.41188904643058777,0.066777803003788,0.16252275003353134
30,70455.4140625,0.19674891233444214,0.08124757558107376,19658.853515625,0.4068988263607025,0.07944648712873459,0.1450891669956036
31,69979.2578125,0.2006380558013916,0.07518594712018967,19367.90625,0.40460067987442017,0.09216494113206863,0.14567416702629998
32,69351.3671875,0.2039286345243454,0.06565400958061218,19353.8359375,0.40457719564437866,0.1049092710018158,0.14646033296594396
33,68673.34375,0.20696522295475006,0.05409648269414902,19534.861328125,0.4061368405818939,0.11765910685062408,0.14970854099374264
