step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,93419.90625,0.507108211517334,0.0012134563876315951,12313.7001953125,0.3027404546737671,0.009999998845160007,0.07943583402084187
1,92835.03125,0.519846498966217,0.0020803085062652826,11058.279296875,0.2958407402038574,0.019689876586198807,0.0930748749524355
2,92211.8203125,0.5065711140632629,0.003083856077864766,11376.9501953125,0.2986936867237091,0.02927209809422493,0.09190033300546929
3,91645.453125,0.4914262890815735,0.004211862571537495,11833.55859375,0.3024807572364807,0.038850486278533936,0.083658707968425
4,91127.4375,0.47961974143981934,0.0054702358320355415,12103.8828125,0.30514562129974365,0.04848559945821762,0.08481887495145202
5,90611.3515625,0.47362858057022095,0.006884321570396423,12009.443359375,0.30550616979599,0.058215510100126266,0.08046904200455174
6,90086.34375,0.47141215205192566,0.00847333949059248,11669.29296875,0.30428504943847656,0.06806012243032455,0.07964220800204203
7,89559.0859375,0.4707237184047699,0.010229436680674553,11224.974609375,0.30238795280456543,0.07802799344062805,0.08252283395268023
8,89032.4453125,0.4698016047477722,0.0121150566264987,10786.5419921875,0.3005423843860626,0.08812183141708374,0.08804366696858779
9,88503.796875,0.46739885210990906,0.014087679795920849,10429.2734375,0.29925864934921265,0.09834195673465729,0.08742583298590034
10,87968.640625,0.4627942144870758,0.016100244596600533,10195.2568359375,0.2988393306732178,0.1086881086230278,0.08690587501041591
11,87425.5,0.4559214115142822,0.018094481900334358,10089.3564453125,0.2993455231189728,0.11916032433509827,0.08641566702863201
12,86877.5078125,0.44735077023506165,0.020005611702799797,10081.96875,0.30059897899627686,0.1297592669725418,0.0881832090090029
13,86328.4140625,0.4380599856376648,0.021771090105175972,10120.7431640625,0.3022456169128418,0.14048616588115692,0.09663866698974743
14,85778.2421875,0.42910173535346985,0.023339655250310898,10147.6162109375,0.30386486649513245,0.15134239196777344,0.09125408297404647
15,85223.390625,0.4212205708026886,0.024674152955412865,10121.00390625,0.30512914061546326,0.1623288094997406,0.08878704096423462
16,84660.5390625,0.41467857360839844,0.0257438812404871,10027.8916015625,0.3059040904045105,0.17344507575035095,0.08973162499023601
17,84089.109375,0.409365177154541,0.026508765295147896,9878.8388671875,0.30622872710227966,0.18468916416168213,0.08974341698922217
18,83510.6875,0.4049655795097351,0.026910265907645226,9697.8662109375,0.3062523603439331,0.1960572749376297,0.0917032909928821
19,82927.859375,0.401076078414917,0.026879137381911278,9514.29296875,0.306180477142334,0.2075439989566803,0.0924525840091519
20,82343.328125,0.3972945213317871,0.026362331584095955,9355.53515625,0.30622103810310364,0.2191428542137146,0.09520558401709422
21,81760.078125,0.3933162987232208,0.02536105364561081,9239.9501953125,0.3065239191055298,0.23084677755832672,0.09204683301504701
22,81181.59375,0.3890225291252136,0.023971689864993095,9170.4443359375,0.3071172535419464,0.24264845252037048,0.09099687496200204
23,80610.96875,0.38451236486434937,0.022410228848457336,9131.904296875,0.30786800384521484,0.2545402944087982,0.09185312496265396
24,80048.46875,0.3800034821033478,0.02098499797284603,9097.6650390625,0.30851954221725464,0.26651400327682495,0.09120220900513232
25,79491.640625,0.37558841705322266,0.01998117007315159,9048.93359375,0.3088575005531311,0.27856025099754333,0.09204570797737688
26,78939.265625,0.3710017800331116,0.01951456442475319,8995.6298828125,0.3089200258255005,0.2906689941883087,0.09686908399453387
27,78393.6875,0.3656357526779175,0.019479667767882347,8977.16796875,0.3090497851371765,0.3028310239315033,0.09447612497024238
28,77858.15625,0.3588511645793915,0.019611462950706482,9039.9814453125,0.30971914529800415,0.3150400221347809,0.09274875000119209
29,77335.7578125,0.35046881437301636,0.01962817832827568,9205.5048828125,0.31120556592941284,0.3272935748100281,0.09005029202671722
