step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,95281.296875,0.4038798213005066,0.0011423686519265175,19741.875,0.3503720462322235,0.009999998845160007,0.053863874985836446
1,94396.046875,0.4170815050601959,0.0015488930512219667,18328.478515625,0.3420451879501343,0.020011495798826218,0.06652375002158806
2,93565.359375,0.43084800243377686,0.0020845525432378054,16905.634765625,0.33366474509239197,0.030043650418519974,0.05411658401135355
3,92803.15625,0.44511333107948303,0.0027767058927565813,15484.34375,0.3252980411052704,0.04010598361492157,0.04923104197951034
4,92120.7734375,0.4596911668777466,0.003656042506918311,14080.908203125,0.31705141067504883,0.05020788684487343,0.055308833019807935
5,91526.84375,0.47418054938316345,0.004769464489072561,12722.8515625,0.3090899586677551,0.06035849079489708,0.0500734579982236
6,91023.28125,0.48782968521118164,0.0061748749576509,11454.529296875,0.3016829490661621,0.07056654244661331,0.049733459018170834
7,90594.4765625,0.4994235038757324,0.007925733923912048,10337.4228515625,0.2952212691307068,0.08084025979042053,0.05646570795215666
8,90203.296875,0.5076169967651367,0.010053613223135471,9428.1533203125,0.29008084535598755,0.09118734300136566,0.04996983299497515
9,89804.34375,0.5114240050315857,0.012559653259813786,8757.4560546875,0.2864852249622345,0.1016150563955307,0.05384795903228223
10,89361.1171875,0.5103586912155151,0.015420849435031414,8331.71484375,0.28451451659202576,0.11213023960590363,0.06024295900715515
11,88858.1640625,0.5044496655464172,0.018603172153234482,8138.982421875,0.2841389775276184,0.122739277780056,0.05234962498070672
12,88303.5078125,0.4941076934337616,0.02206917107105255,8158.4658203125,0.28527358174324036,0.1334480345249176,0.052378709020558745
13,87723.453125,0.4799593389034271,0.02577844075858593,8367.740234375,0.28781941533088684,0.14426188170909882,0.06480275001376867
14,87155.0859375,0.4627687633037567,0.02968551218509674,8743.3896484375,0.29166269302368164,0.15518583357334137,0.05254329199669883
15,86638.09375,0.4434647262096405,0.03374077379703522,9254.9287109375,0.29662612080574036,0.16622476279735565,0.05898025003261864
16,86204.125,0.42323362827301025,0.037897881120443344,9853.1962890625,0.3023778200149536,0.17738376557826996,0.06010020797839388
17,85862.4296875,0.40360182523727417,0.04213469475507736,10456.818359375,0.3083195984363556,0.1886684149503708,0.05277704104082659
18,85588.109375,0.38631296157836914,0.04648071154952049,10951.919921875,0.31356823444366455,0.20008450746536255,0.06484445894602686
19,85331.0078125,0.37283700704574585,0.05100446566939354,11226.6982421875,0.3172016441822052,0.21163688600063324,0.05823675001738593
20,85048.03125,0.36385974287986755,0.05573272705078125,11223.1044921875,0.3186567723751068,0.22332730889320374,0.056866958970203996
21,84727.921875,0.3592495322227478,0.06057434529066086,10955.3076171875,0.31790226697921753,0.23515231907367706,0.06768541701603681
22,84388.8125,0.3582848310470581,0.06528731435537338,10494.7158203125,0.3153688311576843,0.24710200726985931,0.05393633298808709
23,84056.5625,0.35977283120155334,0.06944099813699722,9950.4931640625,0.31184685230255127,0.2591603100299835,0.06034545798320323
24,83737.3203125,0.362089604139328,0.07238374650478363,9450.994140625,0.30838993191719055,0.2713073492050171,0.06877829198492691
25,83403.9296875,0.36352071166038513,0.07337278872728348,9109.341796875,0.30605241656303406,0.28352364897727966,0.07646670896792784
26,83020.0390625,0.3629890978336334,0.0719483345746994,8979.943359375,0.3054634928703308,0.2957940399646759,0.057318917009979486
