step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,83087.59375,0.8162038326263428,0.004454451147466898,789.5255737304688,0.2322441041469574,0.009999999776482582,0.0014877910143695772
1,64809.13671875,0.1437576413154602,0.007743919733911753,49094.65625,0.5643231272697449,0.017716502770781517,0.0016427499940618873
2,59340.92578125,0.13114291429519653,0.0489627905189991,40794.71484375,0.5356405377388,0.02623901143670082,0.0014065420255064964
3,53996.88671875,0.28220364451408386,0.10855759680271149,14570.8369140625,0.3499264717102051,0.035241954028606415,0.0013394999550655484
4,59810.68359375,0.4255358874797821,0.1086634173989296,6114.2333984375,0.2765201926231384,0.044098325073719025,0.0012878329725936055
5,55555.23046875,0.39656075835227966,0.07128541171550751,8472.841796875,0.2977685034275055,0.052973728626966476,0.0011487500160001218
6,51235.703125,0.2924524247646332,0.04139119014143944,17482.9140625,0.3684307932853699,0.06209263205528259,0.0011397079797461629
7,52637.265625,0.2046661078929901,0.026139425113797188,29102.806640625,0.45390522480010986,0.07149840146303177,0.001067458011675626
8,54296.8671875,0.17188891768455505,0.02104002609848976,34509.26171875,0.4947127103805542,0.0811505988240242,0.001109458040446043
9,52275.453125,0.19006776809692383,0.021936237812042236,30605.099609375,0.46995118260383606,0.09098565578460693,0.001221666985657066
10,49475.921875,0.23956729471683502,0.027912037447094917,22315.59375,0.41239964962005615,0.10091803967952728,0.001094167004339397
11,48709.765625,0.2899283468723297,0.0403013750910759,15325.3466796875,0.36144596338272095,0.11086124181747437,0.0011913750204257667
12,49149.09765625,0.3086085021495819,0.05887730419635773,12064.0771484375,0.33644330501556396,0.12077599763870239,0.0011443750117905438
13,48785.62109375,0.2847225069999695,0.07639773190021515,12333.1533203125,0.3404437005519867,0.13070936501026154,0.0011409589787945151
14,47265.3515625,0.23603694140911102,0.08092784136533737,15199.1953125,0.3696777820587158,0.14076663553714752,0.001127541996538639
15,45692.3515625,0.19061808288097382,0.06727728247642517,19489.869140625,0.41294559836387634,0.15102435648441315,0.0011013330076821148
16,44791.5234375,0.16664336621761322,0.04330798611044884,23346.107421875,0.45028290152549744,0.16149269044399261,0.0012720840168185532
17,44269.828125,0.1682778298854828,0.021541524678468704,24824.033203125,0.46385815739631653,0.17213095724582672,0.0011775829480029643
18,43747.28125,0.18849003314971924,0.008799380622804165,23565.384765625,0.45295488834381104,0.18286412954330444,0.001485167013015598
19,42951.21875,0.2095290869474411,0.0045729209668934345,21108.357421875,0.43265944719314575,0.19361761212348938,0.0011163330054841936
20,41588.171875,0.21262836456298828,0.006210917141288519,19286.92578125,0.4173205494880676,0.20435065031051636,0.0011338749900460243
21,40320.3203125,0.19480043649673462,0.014464134350419044,18982.80078125,0.41106340289115906,0.21505214273929596,0.001499708043411374
22,40029.47265625,0.16861110925674438,0.02740655280649662,20015.75390625,0.4119527339935303,0.22572548687458038,0.0011425419943407178
23,39750.83203125,0.1497514396905899,0.03071099892258644,21287.470703125,0.41711899638175964,0.2363910675048828,0.0010317920241504908
24,38334.30859375,0.14433762431144714,0.016347674652934074,21840.787109375,0.4249933063983917,0.24708965420722961,0.0013921670033596456
