step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,186447.75,1.839712381362915,6.775603105779737e-05,21070.662109375,0.3626727759838104,-0.009999999776482582,0.15136945800622925
1,173827.59375,1.718683123588562,2.1662226572516374e-05,16256.5,0.3314591348171234,-0.020011136308312416,0.15381283400347456
2,161669.328125,1.601577877998352,6.493899604720355e-07,12071.4443359375,0.30433911085128784,-0.030045799911022186,0.1586305410019122
3,150020.515625,1.4888759851455688,1.094657363864826e-05,8504.3271484375,0.2813977599143982,-0.04010264202952385,0.17706741602160037
4,138903.421875,1.3807848691940308,5.979517663945444e-05,5562.91357421875,0.2626619338989258,-0.050150927156209946,0.16651154099963605
5,128290.703125,1.2770230770111084,0.00015647130203433335,3246.7646484375,0.24807418882846832,-0.06012308970093727,0.16287020803429186
6,118128.125,1.1770466566085815,0.0003027950006071478,1555.9112548828125,0.23758260905742645,-0.0699026882648468,0.15862750000087544
7,108364.3515625,1.080352544784546,0.0004858838801737875,493.2186584472656,0.23118624091148376,-0.0792943686246872,0.16356899996753782
8,98968.875,0.9866527318954468,0.0006827563629485667,63.79608154296875,0.22894233465194702,-0.08796018362045288,0.15943916601827368
9,89930.3125,0.8958549499511719,0.0008643142646178603,274.47186279296875,0.23094893991947174,-0.09532125294208527,0.16336079203756526
10,81247.5546875,0.8079679012298584,0.001001544645987451,1132.7928466796875,0.2373300939798355,-0.10050883144140244,0.1661012499826029
11,72926.3515625,0.7230657339096069,0.0010687680914998055,2646.787353515625,0.24822893738746643,-0.10264187306165695,0.17653841595165431
12,64989.75390625,0.6414046883583069,0.0010386123321950436,4816.72509765625,0.2637544572353363,-0.10147310793399811,0.16006099997321144
13,57486.96875,0.5635186433792114,0.0008916783845052123,7620.4814453125,0.2838897407054901,-0.09754784405231476,0.1465367500204593
14,50484.5859375,0.49011456966400146,0.0006397568504326046,11007.162109375,0.3084370195865631,-0.09165250509977341,0.14838554098969325
15,44051.21875,0.4219008982181549,0.00034002456231974065,14901.0498046875,0.33701804280281067,-0.0844089463353157,0.1468192920438014
16,38242.578125,0.35943228006362915,8.984881424112245e-05,19212.439453125,0.36912456154823303,-0.07621903717517853,0.15148908301489428
17,33090.76953125,0.3030117154121399,1.3200964303905494e-06,23852.595703125,0.4042063057422638,-0.06732716411352158,0.156522709003184
18,28599.3515625,0.25266262888908386,0.00016350325313396752,28749.626953125,0.4417755901813507,-0.05788160115480423,0.15660066698910668
19,24746.06640625,0.2081800103187561,0.000607191352173686,33858.671875,0.48147889971733093,-0.04797455295920372,0.16867983300471678
20,21489.91796875,0.16921550035476685,0.0012899007415398955,39162.65625,0.5231108069419861,-0.03766579180955887,0.16114054102217779
21,18780.349609375,0.13536572456359863,0.0021079510916024446,44664.10546875,0.5665730834007263,-0.02699630707502365,0.17122770799323916
22,16564.966796875,0.10623747855424881,0.0029234145767986774,50370.78125,0.6117983460426331,-0.015996158123016357,0.16711162502178922
23,14794.0439453125,0.0814778134226799,0.003595896763727069,56280.12109375,0.6586608290672302,-0.004689032211899757,0.15974295901833102
24,13422.36328125,0.060776129364967346,0.004013995639979839,62364.65234375,0.7068856954574585,0.006905161775648594,0.16211445798398927
25,12408.26953125,0.04384169355034828,0.004119548946619034,68561.625,0.7559824585914612,0.018768779933452606,0.17136970796855167
26,11711.1669921875,0.030375029891729355,0.003918049391359091,74766.5625,0.805202841758728,0.03088555671274662,0.16101537499343976
27,11288.306640625,0.020041752606630325,0.0034737815149128437,80832.1796875,0.8535351753234863,0.04324009642004967,0.16592916595982388
28,11091.962890625,0.012457456439733505,0.002890563802793622,86574.1953125,0.8997416496276855,0.05581756681203842,0.16098404198419303
29,11067.9033203125,0.007190050091594458,0.0022831156384199858,91781.625,0.9424234628677368,0.06860353797674179,0.15158745896769688
30,11156.0986328125,0.0037784622982144356,0.0017483077244833112,96233.09375,0.9801124930381775,0.0815839096903801,0.14749095897423103
31,11293.8466796875,0.0017599514685571194,0.001346359495073557,99718.25,1.011391043663025,0.09474483877420425,0.14791537501150742
32,11421.2841796875,0.0007025905069895089,0.0010995350312441587,102060.6015625,1.035010814666748,0.10807260870933533,0.1499547500279732
33,11488.2236328125,0.00023542808776255697,0.001006587757728994,103140.0703125,1.0500160455703735,0.12155334651470184,0.15378795797005296
34,11460.2646484375,7.441788329742849e-05,0.0010612745536491275,102908.6171875,1.055832862854004,0.13517257571220398,0.15958125004544854
35,11322.47265625,4.171634282101877e-05,0.0012597533641383052,101399.7734375,1.0523477792739868,0.14891454577445984,0.17395362496608868
36,11079.216796875,7.874257426010445e-05,0.0015866347821429372,98727.3828125,1.039940357208252,0.16276147961616516,0.16428791597718373
37,10750.8212890625,0.00024972661049105227,0.0019871967379003763,95076.40625,1.0194886922836304,0.17669275403022766,0.16586162499152124
38,10368.517578125,0.0007315067923627794,0.0023501829709857702,90680.5234375,0.9922959208488464,0.19068430364131927,0.1630390000063926
39,9970.8857421875,0.0017826136900112033,0.002530700294300914,85795.6953125,0.9599849581718445,0.20470836758613586,0.16356904100393876
40,9602.1015625,0.0036852932535111904,0.0024210328701883554,80671.2109375,0.9243478178977966,0.21873389184474945,0.16910733294207603
41,9308.873046875,0.006648157257586718,0.002029505092650652,75538.1875,0.8872883915901184,0.23272784054279327,0.16881666699191555
42,9128.443359375,0.010659140534698963,0.0014957425883039832,70620.6171875,0.8508929014205933,0.24665778875350952,0.16519883304135874
43,9065.6533203125,0.015310323797166348,0.0010110290022566915,66159.5234375,0.8175655603408813,0.26049575209617615,0.16628100001253188
44,9074.501953125,0.0197323989123106,0.0007039078045636415,62409.71875,0.7898996472358704,0.27422279119491577,0.1656106670270674
45,9073.7373046875,0.022858014330267906,0.0006019397405907512,59577.12109375,0.7700292468070984,0.28783273696899414,0.14934249996440485
46,8997.52734375,0.023956414312124252,0.0006860235007479787,57743.90625,0.7588920593261719,0.30133315920829773,0.14873054099734873
47,8832.30859375,0.02297663316130638,0.0009247689740732312,56860.37890625,0.7561303973197937,0.31474316120147705,0.1465165829868056
48,8606.599609375,0.02043226547539234,0.0012284154072403908,56799.33203125,0.7605987191200256,0.3280893564224243,0.14734779199352488
