step,loss,loss_bc1,loss_bc2,loss_phys,loss_data,mu,step_time_s
0,119863.5,0.9259982109069824,7.22683580534067e-06,793.0787353515625,0.26469871401786804,0.009999999776482582,0.10192829102743417
1,116195.46875,0.8687078356742859,1.6645619325572625e-05,2652.97509765625,0.26670050621032715,0.019271744415163994,0.1225271659786813
2,113906.25,0.8154346942901611,0.00017104530707001686,5350.1767578125,0.26995500922203064,0.028319481760263443,0.12703720899298787
3,112691.2734375,0.7689448595046997,0.0005880010430701077,8355.462890625,0.2738253176212311,0.03733210265636444,0.11987979197874665
4,112035.3359375,0.732944905757904,0.0014297926099970937,10871.5,0.27726367115974426,0.046428877860307693,0.13138645800063387
5,111408.546875,0.7092783451080322,0.0028619507793337107,12260.1669921875,0.27934348583221436,0.05568969249725342,0.13232316699577495
6,110580.953125,0.6967450380325317,0.004972402937710285,12427.3037109375,0.2798190414905548,0.0651559978723526,0.12816112500149757
7,109607.59375,0.6928916573524475,0.007782475091516972,11644.974609375,0.2789520025253296,0.07483803480863571,0.12169812497450039
8,108665.34375,0.6951339840888977,0.011273876763880253,10304.1904296875,0.27720364928245544,0.0847235843539238,0.10940962500171736
9,107923.171875,0.7009032368659973,0.015393785201013088,8786.7177734375,0.27506759762763977,0.0947851687669754,0.10490283300168812
10,107461.0234375,0.7074280977249146,0.020041491836309433,7413.90185546875,0.27300164103507996,0.10498782992362976,0.10449225001502782
11,107229.578125,0.7116866707801819,0.0250527523458004,6417.1376953125,0.27138498425483704,0.11529986560344696,0.10486845800187439
12,107083.1484375,0.7111196517944336,0.03021991066634655,5903.947265625,0.27045243978500366,0.12570422887802124,0.11321995797334239
13,106889.828125,0.7046372890472412,0.03534388542175293,5864.771484375,0.2702694237232208,0.1362033635377884,0.10860054101794958
14,106608.0625,0.6925747990608215,0.04024733603000641,6244.6015625,0.2708124816417694,0.14681482315063477,0.10858512500999495
15,106280.03125,0.6761196851730347,0.044763967394828796,6988.67529296875,0.2720298767089844,0.15756148099899292,0.1166352920117788
16,105985.9609375,0.6569390892982483,0.04873718321323395,8035.23681640625,0.27383100986480713,0.16846200823783875,0.12440033297752962
17,105792.7265625,0.6370082497596741,0.052037563174963,9284.150390625,0.2760399878025055,0.17952631413936615,0.12510954099707305
18,105712.609375,0.6184737682342529,0.05459640175104141,10569.998046875,0.2783559560775757,0.19075648486614227,0.13170595897827297
19,105690.40625,0.6033797860145569,0.056432079523801804,11671.8447265625,0.28037378191947937,0.20214956998825073,0.12798470800044015
20,105635.8515625,0.5932123064994812,0.057629067450761795,12381.435546875,0.28170281648635864,0.21369795501232147,0.12876783299725503
21,105486.203125,0.5885006189346313,0.05826406180858612,12596.662109375,0.2821306884288788,0.22538667917251587,0.11864204099401832
